material_id,nome,categoria,unidade,padrao,preco_ref
MAT-089,Cooktop 4 bocas,Cozinha,un,Médio,850.00
MAT-090,Coifa,Cozinha,un,Médio,1200.00
MAT-091,Cortina de vidro,Varanda,m²,Médio,650.00
MAT-092,Câmera de segurança,Segurança,un,Médio,350.00
MAT-093,Cerca elétrica,Segurança,m,Médio,45.00
MAT-094,Alarme monitorado,Segurança,un,Médio,1500.00
MAT-095,Pastilha de piscina,Piscina,m²,Médio,180.00
MAT-096,Vinil de piscina,Piscina,m²,Popular,120.00
MAT-097,Bomba de piscina,Piscina,un,Médio,1200.00
MAT-098,Barras de apoio inox,Acessibilidade,un,Médio,180.00
MAT-099,Bacia elevada PNE,Acessibilidade,un,Médio,850.00
MAT-100,Espelho inclinado,Acessibilidade,un,Médio,350.00
