id,tipo,ambiente,area_m2,configuracao,acabamento,descricao,origem
17,Apto,Banheiro social,3,3Q+2B,Médio,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
18,Apto,Banheiro social,4.0,3Q+2B,Popular,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
19,Apto,Banheiro social,4.0,3Q+2B,Médio,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",base
20,Apto,Banheiro social,6.0,3Q+2B,Popular,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
21,Apto,Banheiro social,6.0,3Q+2B,Médio,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
22,Apto,Lavabo,2.0,3Q+2B,Médio,"Lavabo de impacto: bancada esculpida em pedra natural, cuba de apoio designer, torneira de parede, revestimento decorativo (porcelanato 3D ou cimento queimado), espelho retroiluminado e iluminação cênica",expandido
23,Apto,Lavabo,2.0,3Q+2B,Luxo,"Lavabo de impacto: bancada esculpida em pedra natural, cuba de apoio designer, torneira de parede, revestimento decorativo (porcelanato 3D ou cimento queimado), espelho retroiluminado e iluminação cênica",base
24,Apto,Lavabo,3.0,3Q+2B,Médio,"Lavabo de impacto: bancada esculpida em pedra natural, cuba de apoio designer, torneira de parede, revestimento decorativo (porcelanato 3D ou cimento queimado), espelho retroiluminado e iluminação cênica",expandido
25,Apto,Lavabo,3.0,3Q+2B,Luxo,"Lavabo de impacto: bancada esculpida em pedra natural, cuba de apoio designer, torneira de parede, revestimento decorativo (porcelanato 3D ou cimento queimado), espelho retroiluminado e iluminação cênica",expandido
26,Apto,Banheiro,3.0,2Q+1B,Popular,"Banheiro econômico: pintura de azulejos existentes, troca de louças/metais por modelos básicos, novo vaso sanitário, box acrílico e revisão de sifões/flexíveis",expandido
27,Apto,Banheiro,6.0,2Q+1B,Popular,"Banheiro econômico: pintura de azulejos existentes, troca de louças/metais por modelos básicos, novo vaso sanitário, box acrílico e revisão de sifões/flexíveis",expandido
28,Apto,Quarto,8.0,2Q+1B,Popular,"Reforma de quarto: pintura completa (parede e teto), troca de piso por vinílico clicado sobre existente, rodapé novo, tomadas e interruptores novos e ajuste de porta/guarnição",expandido
29,Apto,Quarto,17.0,2Q+1B,Popular,"Reforma de quarto: pintura completa (parede e teto), troca de piso por vinílico clicado sobre existente, rodapé novo, tomadas e interruptores novos e ajuste de porta/guarnição",expandido
30,Apto,Quarto,12.0,2Q+1B,Popular,"Reforma de quarto: pintura completa (parede e teto), troca de piso por vinílico clicado sobre existente, rodapé novo, tomadas e interruptores novos e ajuste de porta/guarnição",base
31,Apto,Quarto,10.0,3Q+2B,Popular,"Quarto renovado: pintura, piso laminado de qualidade, rodapé alto, cabeceira estofada com iluminação de leitura, tomadas USB, cortineiro embutido em gesso e iluminação setorizada",expandido
32,Apto,Quarto,10.0,3Q+2B,Médio,"Quarto renovado: pintura, piso laminado de qualidade, rodapé alto, cabeceira estofada com iluminação de leitura, tomadas USB, cortineiro embutido em gesso e iluminação setorizada",expandido
33,Apto,Quarto,20.0,3Q+2B,Popular,"Quarto renovado: pintura, piso laminado de qualidade, rodapé alto, cabeceira estofada com iluminação de leitura, tomadas USB, cortineiro embutido em gesso e iluminação setorizada",expandido
34,Apto,Quarto,20.0,3Q+2B,Médio,"Quarto renovado: pintura, piso laminado de qualidade, rodapé alto, cabeceira estofada com iluminação de leitura, tomadas USB, cortineiro embutido em gesso e iluminação setorizada",expandido
35,Apto,Quarto,14.0,3Q+2B,Popular,"Quarto renovado: pintura, piso laminado de qualidade, rodapé alto, cabeceira estofada com iluminação de leitura, tomadas USB, cortineiro embutido em gesso e iluminação setorizada",expandido
36,Apto,Quarto,14.0,3Q+2B,Médio,"Quarto renovado: pintura, piso laminado de qualidade, rodapé alto, cabeceira estofada com iluminação de leitura, tomadas USB, cortineiro embutido em gesso e iluminação setorizada",base
37,Apto,Suíte,16.0,3Q+2B,Médio,"Suíte integrada: piso de madeira ou porcelanato madeirado, painel ripado para cabeceira, closet aberto com iluminação LED, automação de persianas e iluminação cênica com dimmers",expandido
38,Apto,Suíte,16.0,3Q+2B,Luxo,"Suíte integrada: piso de madeira ou porcelanato madeirado, painel ripado para cabeceira, closet aberto com iluminação LED, automação de persianas e iluminação cênica com dimmers",base
39,Apto,Suíte,12,3Q+2B,Médio,"Suíte integrada: piso de madeira ou porcelanato madeirado, painel ripado para cabeceira, closet aberto com iluminação LED, automação de persianas e iluminação cênica com dimmers",expandido
40,Apto,Suíte,12,3Q+2B,Luxo,"Suíte integrada: piso de madeira ou porcelanato madeirado, painel ripado para cabeceira, closet aberto com iluminação LED, automação de persianas e iluminação cênica com dimmers",expandido
41,Apto,Suíte,22.0,3Q+2B,Médio,"Suíte integrada: piso de madeira ou porcelanato madeirado, painel ripado para cabeceira, closet aberto com iluminação LED, automação de persianas e iluminação cênica com dimmers",expandido
42,Apto,Suíte,22.0,3Q+2B,Luxo,"Suíte integrada: piso de madeira ou porcelanato madeirado, painel ripado para cabeceira, closet aberto com iluminação LED, automação de persianas e iluminação cênica com dimmers",expandido
43,Apto,Quarto infantil,8,3Q+2B,Popular,"Quarto temático: pintura com cores específicas, piso vinílico colorido, iluminação lúdica, tomadas em altura segura, proteção de quinas e móveis planejados integrados",expandido
44,Apto,Quarto infantil,8,3Q+2B,Médio,"Quarto temático: pintura com cores específicas, piso vinílico colorido, iluminação lúdica, tomadas em altura segura, proteção de quinas e móveis planejados integrados",expandido
45,Apto,Quarto infantil,10.0,3Q+2B,Popular,"Quarto temático: pintura com cores específicas, piso vinílico colorido, iluminação lúdica, tomadas em altura segura, proteção de quinas e móveis planejados integrados",expandido
46,Apto,Quarto infantil,10.0,3Q+2B,Médio,"Quarto temático: pintura com cores específicas, piso vinílico colorido, iluminação lúdica, tomadas em altura segura, proteção de quinas e móveis planejados integrados",base
47,Apto,Quarto infantil,14.0,3Q+2B,Popular,"Quarto temático: pintura com cores específicas, piso vinílico colorido, iluminação lúdica, tomadas em altura segura, proteção de quinas e móveis planejados integrados",expandido
48,Apto,Quarto infantil,14.0,3Q+2B,Médio,"Quarto temático: pintura com cores específicas, piso vinílico colorido, iluminação lúdica, tomadas em altura segura, proteção de quinas e móveis planejados integrados",expandido
49,Apto,Quarto solteiro,9.0,3Q+2B,Popular,"Quarto solteiro funcional: pintura, piso vinílico básico, luminárias LED, tomadas para computador e organização de cabos",base
50,Apto,Quarto solteiro,13.0,3Q+2B,Popular,"Quarto solteiro funcional: pintura, piso vinílico básico, luminárias LED, tomadas para computador e organização de cabos",expandido
51,Apto,Quarto solteiro,6.0,3Q+2B,Popular,"Quarto solteiro funcional: pintura, piso vinílico básico, luminárias LED, tomadas para computador e organização de cabos",expandido
52,Apto,Quarto hóspedes,8,3Q+2B,Popular,"Quarto de hóspedes: pintura neutra, piso laminado, iluminação agradável, tomadas estratégicas e armário compacto embutido",expandido
53,Apto,Quarto hóspedes,8,3Q+2B,Médio,"Quarto de hóspedes: pintura neutra, piso laminado, iluminação agradável, tomadas estratégicas e armário compacto embutido",expandido
54,Apto,Quarto hóspedes,10.0,3Q+2B,Popular,"Quarto de hóspedes: pintura neutra, piso laminado, iluminação agradável, tomadas estratégicas e armário compacto embutido",expandido
55,Apto,Quarto hóspedes,10.0,3Q+2B,Médio,"Quarto de hóspedes: pintura neutra, piso laminado, iluminação agradável, tomadas estratégicas e armário compacto embutido",base
56,Apto,Quarto hóspedes,14.0,3Q+2B,Popular,"Quarto de hóspedes: pintura neutra, piso laminado, iluminação agradável, tomadas estratégicas e armário compacto embutido",expandido
57,Apto,Quarto hóspedes,14.0,3Q+2B,Médio,"Quarto de hóspedes: pintura neutra, piso laminado, iluminação agradável, tomadas estratégicas e armário compacto embutido",expandido
58,Apto,Cozinha,8.0,1Q+1B,Popular,"Cozinha funcional: pintura lavável, troca de revestimento da faixa molhada (1,50m), bancada granito cinza, cuba inox, torneira básica e revisão de pontos elétricos para eletros",base
59,Apto,Cozinha,11.0,1Q+1B,Popular,"Cozinha funcional: pintura lavável, troca de revestimento da faixa molhada (1,50m), bancada granito cinza, cuba inox, torneira básica e revisão de pontos elétricos para eletros",expandido
60,Apto,Cozinha,6.0,1Q+1B,Popular,"Cozinha funcional: pintura lavável, troca de revestimento da faixa molhada (1,50m), bancada granito cinza, cuba inox, torneira básica e revisão de pontos elétricos para eletros",expandido
61,Apto,Cozinha,10.0,2Q+1B,Popular,"Cozinha completa mantendo layout: demolição de revestimentos, novo piso/parede, bancada quartzo, cuba dupla, torneira gourmet com filtro, marcenaria sob medida e iluminação de bancada",expandido
62,Apto,Cozinha,10.0,2Q+1B,Médio,"Cozinha completa mantendo layout: demolição de revestimentos, novo piso/parede, bancada quartzo, cuba dupla, torneira gourmet com filtro, marcenaria sob medida e iluminação de bancada",base
63,Apto,Cozinha,14.0,2Q+1B,Popular,"Cozinha completa mantendo layout: demolição de revestimentos, novo piso/parede, bancada quartzo, cuba dupla, torneira gourmet com filtro, marcenaria sob medida e iluminação de bancada",expandido
64,Apto,Cozinha,14.0,2Q+1B,Médio,"Cozinha completa mantendo layout: demolição de revestimentos, novo piso/parede, bancada quartzo, cuba dupla, torneira gourmet com filtro, marcenaria sob medida e iluminação de bancada",expandido
65,Apto,Cozinha,7.0,2Q+1B,Popular,"Cozinha completa mantendo layout: demolição de revestimentos, novo piso/parede, bancada quartzo, cuba dupla, torneira gourmet com filtro, marcenaria sob medida e iluminação de bancada",expandido
66,Apto,Cozinha,7.0,2Q+1B,Médio,"Cozinha completa mantendo layout: demolição de revestimentos, novo piso/parede, bancada quartzo, cuba dupla, torneira gourmet com filtro, marcenaria sob medida e iluminação de bancada",expandido
67,Apto,Cozinha,10.0,3Q+2B,Médio,"Cozinha gourmet: porcelanato retificado, bancada ilha em quartzo, cooktop e coifa, marcenaria premium com ferragens Blum, iluminação em perfis LED e tomadas retráteis",expandido
68,Apto,Cozinha,10.0,3Q+2B,Luxo,"Cozinha gourmet: porcelanato retificado, bancada ilha em quartzo, cooktop e coifa, marcenaria premium com ferragens Blum, iluminação em perfis LED e tomadas retráteis",expandido
69,Apto,Cozinha,20.0,3Q+2B,Médio,"Cozinha gourmet: porcelanato retificado, bancada ilha em quartzo, cooktop e coifa, marcenaria premium com ferragens Blum, iluminação em perfis LED e tomadas retráteis",expandido
70,Apto,Cozinha,20.0,3Q+2B,Luxo,"Cozinha gourmet: porcelanato retificado, bancada ilha em quartzo, cooktop e coifa, marcenaria premium com ferragens Blum, iluminação em perfis LED e tomadas retráteis",expandido
71,Apto,Cozinha,14.0,3Q+2B,Médio,"Cozinha gourmet: porcelanato retificado, bancada ilha em quartzo, cooktop e coifa, marcenaria premium com ferragens Blum, iluminação em perfis LED e tomadas retráteis",expandido
72,Apto,Cozinha,14.0,3Q+2B,Luxo,"Cozinha gourmet: porcelanato retificado, bancada ilha em quartzo, cooktop e coifa, marcenaria premium com ferragens Blum, iluminação em perfis LED e tomadas retráteis",base
73,Apto,Cozinha americana,25,3Q+2B,Popular,"Integração cozinha-sala: demolição de meia-parede (se não estrutural), bancada de passagem, revestimento único nos dois ambientes, iluminação integrada e marcenaria de transição",expandido
74,Apto,Cozinha americana,25,3Q+2B,Médio,"Integração cozinha-sala: demolição de meia-parede (se não estrutural), bancada de passagem, revestimento único nos dois ambientes, iluminação integrada e marcenaria de transição",expandido
75,Apto,Cozinha americana,18.0,3Q+2B,Popular,"Integração cozinha-sala: demolição de meia-parede (se não estrutural), bancada de passagem, revestimento único nos dois ambientes, iluminação integrada e marcenaria de transição",expandido
76,Apto,Cozinha americana,18.0,3Q+2B,Médio,"Integração cozinha-sala: demolição de meia-parede (se não estrutural), bancada de passagem, revestimento único nos dois ambientes, iluminação integrada e marcenaria de transição",base
77,Apto,Cozinha americana,13.0,3Q+2B,Popular,"Integração cozinha-sala: demolição de meia-parede (se não estrutural), bancada de passagem, revestimento único nos dois ambientes, iluminação integrada e marcenaria de transição",expandido
78,Apto,Cozinha americana,13.0,3Q+2B,Médio,"Integração cozinha-sala: demolição de meia-parede (se não estrutural), bancada de passagem, revestimento único nos dois ambientes, iluminação integrada e marcenaria de transição",expandido
79,Apto,Cozinha,4.0,1Q+1B,Popular,"Cozinha compacta: pintura, revestimento cerâmico básico na área molhada, bancada granito pequena, cuba simples e organização de pontos elétricos",expandido
80,Apto,Sala,25.0,1Q+1B,Popular,"Sala renovada: pintura completa, troca de piso por vinílico, rodapé, luminárias novas e organização de pontos elétricos para TV/internet",expandido
81,Apto,Sala,18.0,1Q+1B,Popular,"Sala renovada: pintura completa, troca de piso por vinílico, rodapé, luminárias novas e organização de pontos elétricos para TV/internet",base
82,Apto,Sala,13.0,1Q+1B,Popular,"Sala renovada: pintura completa, troca de piso por vinílico, rodapé, luminárias novas e organização de pontos elétricos para TV/internet",expandido
83,Apto,Sala,31.0,2Q+1B,Popular,"Sala de estar: piso laminado ou porcelanato, forro de gesso com iluminação embutida, painel de TV com passa-cabos, tomadas estratégicas e pintura com parede de destaque",expandido
84,Apto,Sala,31.0,2Q+1B,Médio,"Sala de estar: piso laminado ou porcelanato, forro de gesso com iluminação embutida, painel de TV com passa-cabos, tomadas estratégicas e pintura com parede de destaque",expandido
85,Apto,Sala,22.0,2Q+1B,Popular,"Sala de estar: piso laminado ou porcelanato, forro de gesso com iluminação embutida, painel de TV com passa-cabos, tomadas estratégicas e pintura com parede de destaque",expandido
86,Apto,Sala,22.0,2Q+1B,Médio,"Sala de estar: piso laminado ou porcelanato, forro de gesso com iluminação embutida, painel de TV com passa-cabos, tomadas estratégicas e pintura com parede de destaque",base
87,Apto,Sala,15.0,2Q+1B,Popular,"Sala de estar: piso laminado ou porcelanato, forro de gesso com iluminação embutida, painel de TV com passa-cabos, tomadas estratégicas e pintura com parede de destaque",expandido
88,Apto,Sala,15.0,2Q+1B,Médio,"Sala de estar: piso laminado ou porcelanato, forro de gesso com iluminação embutida, painel de TV com passa-cabos, tomadas estratégicas e pintura com parede de destaque",expandido
89,Apto,Sala,42.0,3Q+2B,Médio,"Living premium: porcelanato grande formato, sanca em gesso com iluminação indireta, painel ripado para TV com automação, cortineiro motorizado e infraestrutura para home theater",expandido
90,Apto,Sala,42.0,3Q+2B,Luxo,"Living premium: porcelanato grande formato, sanca em gesso com iluminação indireta, painel ripado para TV com automação, cortineiro motorizado e infraestrutura para home theater",expandido
91,Apto,Sala,21.0,3Q+2B,Médio,"Living premium: porcelanato grande formato, sanca em gesso com iluminação indireta, painel ripado para TV com automação, cortineiro motorizado e infraestrutura para home theater",expandido
92,Apto,Sala,21.0,3Q+2B,Luxo,"Living premium: porcelanato grande formato, sanca em gesso com iluminação indireta, painel ripado para TV com automação, cortineiro motorizado e infraestrutura para home theater",expandido
93,Apto,Sala,30.0,3Q+2B,Médio,"Living premium: porcelanato grande formato, sanca em gesso com iluminação indireta, painel ripado para TV com automação, cortineiro motorizado e infraestrutura para home theater",expandido
94,Apto,Sala,30.0,3Q+2B,Luxo,"Living premium: porcelanato grande formato, sanca em gesso com iluminação indireta, painel ripado para TV com automação, cortineiro motorizado e infraestrutura para home theater",base
95,Apto,Sala + cozinha integradas,32.0,3Q+2B,Popular,"Open concept: demolição de divisória, unificação de pisos, bancada americana, marcenaria integrada, iluminação setorizada e pintura uniforme para ampliar visualmente",expandido
96,Apto,Sala + cozinha integradas,32.0,3Q+2B,Médio,"Open concept: demolição de divisória, unificação de pisos, bancada americana, marcenaria integrada, iluminação setorizada e pintura uniforme para ampliar visualmente",base
97,Apto,Sala + cozinha integradas,25,3Q+2B,Popular,"Open concept: demolição de divisória, unificação de pisos, bancada americana, marcenaria integrada, iluminação setorizada e pintura uniforme para ampliar visualmente",expandido
98,Apto,Sala + cozinha integradas,25,3Q+2B,Médio,"Open concept: demolição de divisória, unificação de pisos, bancada americana, marcenaria integrada, iluminação setorizada e pintura uniforme para ampliar visualmente",expandido
99,Apto,Sala + cozinha integradas,45.0,3Q+2B,Popular,"Open concept: demolição de divisória, unificação de pisos, bancada americana, marcenaria integrada, iluminação setorizada e pintura uniforme para ampliar visualmente",expandido
100,Apto,Sala + cozinha integradas,45.0,3Q+2B,Médio,"Open concept: demolição de divisória, unificação de pisos, bancada americana, marcenaria integrada, iluminação setorizada e pintura uniforme para ampliar visualmente",expandido
101,Apto,Sala,16.0,2Q+1B,Popular,"Sala simples: pintura, piso vinílico econômico, luminárias básicas LED e organização de cabos TV",base
102,Apto,Sala,12,2Q+1B,Popular,"Sala simples: pintura, piso vinílico econômico, luminárias básicas LED e organização de cabos TV",expandido
103,Apto,Lavanderia,4.0,2Q+1B,Popular,"Lavanderia compacta: revestimento lavável, bancada simples com tanque, armário aéreo, varal retrátil, tomada para máquina e revisão de pontos hidráulicos",expandido
104,Apto,Lavanderia,5.0,2Q+1B,Popular,"Lavanderia compacta: revestimento lavável, bancada simples com tanque, armário aéreo, varal retrátil, tomada para máquina e revisão de pontos hidráulicos",base
105,Apto,Lavanderia,7.0,2Q+1B,Popular,"Lavanderia compacta: revestimento lavável, bancada simples com tanque, armário aéreo, varal retrátil, tomada para máquina e revisão de pontos hidráulicos",expandido
106,Apto,Lavanderia,10.0,3Q+2B,Popular,"Área de serviço funcional: armários planejados, bancada ampla, tanque embutido, iluminação adequada, tomadas dedicadas (lava-seca) e ventilação/exaustão",expandido
107,Apto,Lavanderia,10.0,3Q+2B,Médio,"Área de serviço funcional: armários planejados, bancada ampla, tanque embutido, iluminação adequada, tomadas dedicadas (lava-seca) e ventilação/exaustão",expandido
108,Apto,Lavanderia,5.0,3Q+2B,Popular,"Área de serviço funcional: armários planejados, bancada ampla, tanque embutido, iluminação adequada, tomadas dedicadas (lava-seca) e ventilação/exaustão",expandido
109,Apto,Lavanderia,5.0,3Q+2B,Médio,"Área de serviço funcional: armários planejados, bancada ampla, tanque embutido, iluminação adequada, tomadas dedicadas (lava-seca) e ventilação/exaustão",expandido
110,Apto,Lavanderia,7.0,3Q+2B,Popular,"Área de serviço funcional: armários planejados, bancada ampla, tanque embutido, iluminação adequada, tomadas dedicadas (lava-seca) e ventilação/exaustão",expandido
111,Apto,Lavanderia,7.0,3Q+2B,Médio,"Área de serviço funcional: armários planejados, bancada ampla, tanque embutido, iluminação adequada, tomadas dedicadas (lava-seca) e ventilação/exaustão",base
112,Apto,Varanda,8.0,2Q+1B,Popular,"Varanda living: fechamento com cortina de vidro (se permitido), piso porcelanato externo, iluminação pendente, tomadas para churrasqueira elétrica e bancada de apoio",expandido
113,Apto,Varanda,8.0,2Q+1B,Médio,"Varanda living: fechamento com cortina de vidro (se permitido), piso porcelanato externo, iluminação pendente, tomadas para churrasqueira elétrica e bancada de apoio",expandido
114,Apto,Varanda,4.0,2Q+1B,Popular,"Varanda living: fechamento com cortina de vidro (se permitido), piso porcelanato externo, iluminação pendente, tomadas para churrasqueira elétrica e bancada de apoio",expandido
115,Apto,Varanda,4.0,2Q+1B,Médio,"Varanda living: fechamento com cortina de vidro (se permitido), piso porcelanato externo, iluminação pendente, tomadas para churrasqueira elétrica e bancada de apoio",expandido
116,Apto,Varanda,6.0,2Q+1B,Popular,"Varanda living: fechamento com cortina de vidro (se permitido), piso porcelanato externo, iluminação pendente, tomadas para churrasqueira elétrica e bancada de apoio",expandido
117,Apto,Varanda,6.0,2Q+1B,Médio,"Varanda living: fechamento com cortina de vidro (se permitido), piso porcelanato externo, iluminação pendente, tomadas para churrasqueira elétrica e bancada de apoio",base
118,Apto,Varanda gourmet,8,3Q+2B,Médio,"Espaço gourmet: churrasqueira a gás ou elétrica, bancada em granito, cuba, armários, revestimento diferenciado, iluminação cênica e teto rebaixado com gesso",expandido
119,Apto,Varanda gourmet,8,3Q+2B,Luxo,"Espaço gourmet: churrasqueira a gás ou elétrica, bancada em granito, cuba, armários, revestimento diferenciado, iluminação cênica e teto rebaixado com gesso",expandido
120,Apto,Varanda gourmet,10.0,3Q+2B,Médio,"Espaço gourmet: churrasqueira a gás ou elétrica, bancada em granito, cuba, armários, revestimento diferenciado, iluminação cênica e teto rebaixado com gesso",expandido
121,Apto,Varanda gourmet,10.0,3Q+2B,Luxo,"Espaço gourmet: churrasqueira a gás ou elétrica, bancada em granito, cuba, armários, revestimento diferenciado, iluminação cênica e teto rebaixado com gesso",base
122,Apto,Varanda gourmet,14.0,3Q+2B,Médio,"Espaço gourmet: churrasqueira a gás ou elétrica, bancada em granito, cuba, armários, revestimento diferenciado, iluminação cênica e teto rebaixado com gesso",expandido
123,Apto,Varanda gourmet,14.0,3Q+2B,Luxo,"Espaço gourmet: churrasqueira a gás ou elétrica, bancada em granito, cuba, armários, revestimento diferenciado, iluminação cênica e teto rebaixado com gesso",expandido
124,Apto,Home office,9.0,2Q+1B,Popular,"Escritório em casa: bancada longa, iluminação de tarefa, tomadas múltiplas, cabeamento organizado, tratamento acústico leve e pintura neutra focada em produtividade",expandido
125,Apto,Home office,9.0,2Q+1B,Médio,"Escritório em casa: bancada longa, iluminação de tarefa, tomadas múltiplas, cabeamento organizado, tratamento acústico leve e pintura neutra focada em produtividade",base
126,Apto,Home office,13.0,2Q+1B,Popular,"Escritório em casa: bancada longa, iluminação de tarefa, tomadas múltiplas, cabeamento organizado, tratamento acústico leve e pintura neutra focada em produtividade",expandido
127,Apto,Home office,13.0,2Q+1B,Médio,"Escritório em casa: bancada longa, iluminação de tarefa, tomadas múltiplas, cabeamento organizado, tratamento acústico leve e pintura neutra focada em produtividade",expandido
128,Apto,Home office,6.0,2Q+1B,Popular,"Escritório em casa: bancada longa, iluminação de tarefa, tomadas múltiplas, cabeamento organizado, tratamento acústico leve e pintura neutra focada em produtividade",expandido
129,Apto,Home office,6.0,2Q+1B,Médio,"Escritório em casa: bancada longa, iluminação de tarefa, tomadas múltiplas, cabeamento organizado, tratamento acústico leve e pintura neutra focada em produtividade",expandido
130,Apto,Home office,8.0,1Q+1B,Popular,"Cantinho de trabalho: bancada simples, iluminação de mesa, tomadas para computador e cadeira ergonômica básica",expandido
131,Apto,Home office,4.0,1Q+1B,Popular,"Cantinho de trabalho: bancada simples, iluminação de mesa, tomadas para computador e cadeira ergonômica básica",expandido
132,Apto,Home office,6.0,1Q+1B,Popular,"Cantinho de trabalho: bancada simples, iluminação de mesa, tomadas para computador e cadeira ergonômica básica",base
133,Apto,Geral,63.0,2Q+1B,Popular,"Reforma rápida apartamento: pintura geral (paredes e tetos), troca de luminárias por LED, revisão de tomadas/interruptores, rejuntes novos e pequenos reparos",expandido
134,Apto,Geral,45.0,2Q+1B,Popular,"Reforma rápida apartamento: pintura geral (paredes e tetos), troca de luminárias por LED, revisão de tomadas/interruptores, rejuntes novos e pequenos reparos",base
135,Apto,Geral,31.0,2Q+1B,Popular,"Reforma rápida apartamento: pintura geral (paredes e tetos), troca de luminárias por LED, revisão de tomadas/interruptores, rejuntes novos e pequenos reparos",expandido
136,Apto,Geral,77.0,3Q+2B,Popular,"Reforma pré-entrega: pintura completa, troca de pisos áreas sociais, revisão elétrica, silicones/rejuntes novos, louças sanitárias e pequenos reparos de acabamento",expandido
137,Apto,Geral,77.0,3Q+2B,Médio,"Reforma pré-entrega: pintura completa, troca de pisos áreas sociais, revisão elétrica, silicones/rejuntes novos, louças sanitárias e pequenos reparos de acabamento",expandido
138,Apto,Geral,38.0,3Q+2B,Popular,"Reforma pré-entrega: pintura completa, troca de pisos áreas sociais, revisão elétrica, silicones/rejuntes novos, louças sanitárias e pequenos reparos de acabamento",expandido
139,Apto,Geral,38.0,3Q+2B,Médio,"Reforma pré-entrega: pintura completa, troca de pisos áreas sociais, revisão elétrica, silicones/rejuntes novos, louças sanitárias e pequenos reparos de acabamento",expandido
