id,tipo,área (ambiente),area_m2,qtd_imovel (padrão 2Q+1B),acabamento (popular / médio / luxo / comercial),descrição da reforma (sem ampliação)
47,Escritório,Fachada/vidros,90,0Q+2B,Comercial,"Conforto térmico: película, persianas, vedação de frestas e organização do ar-condicionado existente"
48,Apto,Cozinha,10,2Q+1B,Médio,"Upgrade de armários: ferragens/puxadores, ajuste de portas, pintura/laminado nas frentes, LED sob armário e rodabanca"
49,Casa,Suíte,8,4Q+3B,Luxo,"Reforma da suíte mantendo layout: impermeabilização, revestimentos, nichos, metais premium e iluminação cênica"
50,Escritório,Área técnica/estoque,60,0Q+2B,Comercial,"Piso com pintura epóxi sobre base existente: preparo, primer, demãos e demarcações para alta resistência"
51,Apto,Cozinha,9,2Q+1B,Popular,"Troca do revestimento apenas da “faixa molhada” da cozinha, com rejunte novo, selagem de cantos e recomposição de tomadas/espelhos sem remanejar pontos"
52,Apto,Banheiro,5,2Q+1B,Luxo,"Retrofit do box: ralo linear (se viável sem rebaixar), vidro até o teto, nicho iluminado em LED e metais premium, mantendo posição de chuveiro e registros"
53,Apto,Varanda,6,2Q+1B,Médio,"Fechamento de varanda com cortina de vidro (quando permitido pelo condomínio) e adequação de piso/rodapé, mantendo vãos e sem alteração estrutural"
54,Apto,Sala,20,2Q+1B,Luxo,"Painel ripado e móvel sob medida para TV com passa-cabos, pontos de energia dedicados e iluminação indireta para efeito “cinema”"
55,Apto,Quarto,12,2Q+1B,Médio,"Cabeceira estofada/painel + iluminação de leitura, tomadas USB e organização de cabos, mantendo paredes e layout do quarto"
56,Apto,Banheiro,4,1Q+1B,Médio,"Troca de ventilação/exaustor e melhoria de iluminação do banheiro, com correção de mofo superficial e pintura apropriada para área úmida"
57,Apto,Geral,55,2Q+1B,Médio,"Troca de tomadas/interruptores por padrão moderno, correção de caixas frouxas, revisão de pontos de aterramento e acabamento uniforme (placas)"
58,Apto,Sala + corredor,30,2Q+1B,Médio,"Forro de gesso em áreas sociais com rasgos de iluminação e sancas simples, mantendo pé-direito e sem mexer em estrutura"
59,Apto,Cozinha + sala,28,2Q+1B,Médio,"Troca do “frontão” e rodabanca por acabamento mais fácil de limpar, ajuste de vedação entre bancada e parede e revisão de sifão para evitar vazamentos"
60,Apto,Banheiro,5,2Q+1B,Popular,"Troca de bancada do banheiro (mármore sintético/compacto) + cuba e espelho, mantendo hidráulica; inclui silicone e ajustes de fixação"
61,Casa,Cozinha,18,3Q+2B,Luxo,"Marcenaria completa com torre quente e organização interna (despensa, gavetões), iluminação em perfis e ferragens premium, mantendo pontos existentes"
62,Casa,Banheiro,7,3Q+2B,Luxo,"Banheiro “spa” sem ampliar: revestimento premium, bancada maior, ducha com melhor desempenho, nichos e iluminação cênica, mantendo layout"
63,Casa,Área externa,40,3Q+2B,Médio,"Revitalização de churrasqueira/área gourmet existente: revestimento, bancada, ponto de água já existente, elétrica e iluminação, sem ampliação"
64,Casa,Garagem,35,3Q+2B,Comercial,"Organização e pintura de garagem: pintura de piso (epóxi ou PU), demarcações, prateleiras e melhoria de iluminação"
65,Casa,Muros,70,3Q+2B,Popular,"Pintura de muros e grades com correção de pontos de ferrugem, selagem e acabamento resistente ao tempo"
66,Casa,Quartos,45,3Q+2B,Médio,"Troca de piso dos quartos por laminado/vinílico com rodapé novo e ajustes de portas, mantendo soleiras e níveis"
67,Casa,Banheiros,12,3Q+2B,Médio,"Troca de boxes, espelhos e acessórios em todos os banheiros, com revisão de silicones e vedação para eliminar infiltrações leves"
68,Casa,Sala,28,3Q+2B,Luxo,"Lareira ecológica (bioetanol/elétrica) em nicho decorativo e painel, com proteção térmica e acabamento fino (sem chaminé/obra estrutural)"
69,Casa,Geral,150,Médio,Médio,"Troca de luminárias externas por LED e setorização de circuitos, incluindo sensor de presença em áreas de circulação"
70,Casa,Banheiro,6,2Q+1B,Popular,"Reparo de vazamento sob pia/caixa acoplada, troca de flexíveis e registros, correção de silicone e testes; intervenção pontual com baixo entulho"
71,Escritório,Geral,180,0Q+2B,Comercial,"Adequação de cabeamento: troca de patch cords, organização de rack, identificação de pontos e limpeza de eletrocalhas para reduzir falhas"
72,Escritório,Geral,200,0Q+2B,Comercial,"Pintura geral com cores neutras e parede de destaque para marca, incluindo pequenos reparos de massa e acabamento lavável em áreas de alto contato"
73,Escritório,Sala de call,20,0Q+2B,Comercial,"Criação de cabine(s) de call com divisórias leves, vedação e tratamento acústico, sem alterar estrutura; elétrica e iluminação dedicadas"
74,Escritório,Open space,120,0Q+2B,Comercial,"Instalação de divisórias de vidro/leve para separar setores, mantendo a área total e sem ampliação; inclui porta e vedação acústica mínima"
75,Escritório,Copa,25,0Q+2B,Comercial,"Upgrade de copa: armários novos, bancada mais resistente, revestimento lavável e melhoria de ventilação/cheiros (exaustor), sem mudar pontos principais"
76,Escritório,Banheiros,18,0Q+3B,Comercial,"Troca de torneiras por temporizadas/sensor (onde aplicável) para reduzir consumo, revisão de válvulas e acabamento antivandalismo"
77,Escritório,Recepção,35,0Q+2B,Comercial,"Instalação de piso vinílico/porcelanato de alto tráfego na recepção com rodapé e transições, pensado para durabilidade e fácil limpeza"
78,Escritório,Sala de reunião,30,0Q+2B,Comercial,"Tratamento de iluminação para vídeo: frontal suave, redução de sombras, cortina/persiana e plano de fundo adequado, sem obra civil pesada"
79,Escritório,Área técnica,40,0Q+1B,Comercial,"Adequação de ventilação e organização de sala de TI/servidor: exaustão, controle de poeira, tomada dedicada e layout para manutenção"
80,Escritório,Geral,220,0Q+2B,Comercial,"Implantação de sinalização interna (rotas, salas, segurança), adesivos e placas, padronizando comunicação visual sem reforma pesada"
81,Apto,Banheiro,5,2Q+1B,Médio,"Troca de ralo e melhoria de escoamento (ajuste de grelha/nível, correção local de caimento quando possível), com rejunte novo e vedação de cantos"
82,Apto,Cozinha,12,3Q+2B,Médio,"Instalação de lava-louças com adaptação de marcenaria e sifão, elétrica dedicada e acabamento; mantém pontos principais e evita quebra extensa"
83,Apto,Sala,22,2Q+1B,Médio,"Instalação de cortineiro embutido em gesso e trilho, com pintura e iluminação indireta para efeito de acabamento “limpo”"
84,Apto,Quarto,12,2Q+1B,Luxo,"Troca de guarda-roupa por planejado com portas espelhadas, iluminação interna e ferragens premium, mantendo posição e sem obra"
85,Apto,Geral,70,3Q+2B,Médio,"Revisão de hidráulica aparente/armários: troca de registros setoriais, flexíveis e sifões, eliminando microvazamentos e facilitando manutenção futura"
86,Casa,Banheiro,8,3Q+2B,Médio,"Instalação de aquecimento a gás para chuveiro (adequação de pontos existentes, ventilação e testes), sem redistribuição de layout"
87,Casa,Cozinha,14,2Q+1B,Médio,"Troca de cuba e instalação de torneira gourmet com filtro, revisão de vedação, e melhoria de iluminação de bancada sem mexer na hidráulica principal"
88,Casa,Quartos,50,4Q+3B,Luxo,"Reforma de closets/armários de todos os quartos com padrão premium: ferragens, iluminação, organização interna e acabamento superior"
89,Casa,Externo,90,3Q+2B,Médio,"Instalação de iluminação de jardim e caminhos com fotocélula/temporizador, caixas de passagem e proteção, sem grandes escavações"
90,Casa,Banheiros,12,4Q+3B,Luxo,"Substituição de bancadas por pedra premium e cubas esculpidas, com espelhos grandes, metais premium e iluminação cênica, mantendo layout"
91,Escritório,Geral,150,0Q+2B,Comercial,"Implantação de controle de acesso (fechaduras, catraca simples, leitores) com ajustes de portas e elétrica dedicada, sem mudança de layout"
92,Escritório,Open space,200,0Q+2B,Comercial,"Troca de mobiliário e ergonomia: cadeiras, mesas reguláveis, apoio de monitor, layout de cabos e pontos de energia para reduzir fadiga e bagunça"
93,Escritório,Geral,180,0Q+2B,Comercial,"Upgrade de ar-condicionado existente: limpeza técnica, balanceamento, reposicionamento de grelhas e vedação de dutos aparentes para melhorar conforto"
94,Escritório,Banheiros,20,0Q+4B,Comercial,"Troca de revestimentos por materiais de alta durabilidade e fácil limpeza, com iluminação reforçada e acessórios antivandalismo"
95,Escritório,Recepção,40,0Q+2B,Comercial,"Criação de “parede instagramável” da marca com acabamento resistente, iluminação de destaque e pontos para fotos/vídeos"
96,Escritório,Copa,30,0Q+2B,Comercial,"Implantação de copa “anti-bagunça”: armários com divisões, lixeira embutida, revestimento lavável e organização de eletros com tomadas dedicadas"
97,Apto,Geral,65,2Q+2B,Médio,"Reforma “de entrega”: pintura, troca de luminárias, revisão elétrica básica, rejuntes/silicones e pequenos reparos para valorização rápida do imóvel"
98,Apto,Sala + quartos,50,3Q+2B,Luxo,"Automação leve: interruptores inteligentes, controle de iluminação e cenas, preparação para assistente de voz e organização do Wi-Fi (sem obra pesada)"
99,Casa,Geral,160,3Q+2B,Médio,"Revisão e troca de torneiras/registros da casa por padrões mais eficientes, correção de vazamentos e setorização para manutenção sem quebrar paredes"
100,Casa,Área externa,45,3Q+2B,Popular,"Revitalização de quintal: pintura de piso existente, reorganização de drenagem superficial leve, revisão de ralos e criação de área de uso com mobiliário"
1,Casa,Telhado,120,3Q+2B,Popular,"Telha cerâmica: substituição pontual (manutenção) com troca de peças quebradas, revisão de cumeeiras, reaperto/realinhamento, limpeza de telhas e vedação simples; sem troca de madeiramento e sem intervenção em calhas/rufos (somente limpeza)"
2,Casa,Telhado,120,3Q+2B,Médio,"Telha cerâmica: retirada parcial com reaproveitamento (seleção de telhas boas), reposição das danificadas, revisão de ripas/caibros em trechos e aplicação de subcobertura básica; inclui reparo parcial de rufos e vedação em encontros"
3,Casa,Telhado,120,3Q+2B,Médio,"Telha cerâmica: retirada total sem reaproveitamento, instalação de telhas novas, troca parcial de madeiramento (ripas/caibros críticos), aplicação de subcobertura básica e troca parcial de calhas/condutores com correção de suportes"
4,Casa,Telhado,120,3Q+2B,Luxo,"Telha cerâmica premium: retirada total sem reaproveitamento, troca total de madeiramento, subcobertura premium (membrana de alta performance), cumeeiras novas e troca total de rufos, calhas e condutores com redimensionamento e testes de estanqueidade"
5,Casa,Telhado,120,3Q+2B,Popular,"Telha fibrocimento (ondulada): substituição pontual de chapas com fissura, troca de parafusos com vedação, revisão de sobreposições e aplicação de selante nos pontos críticos; sem troca de estrutura e sem troca de calhas (apenas limpeza)"
6,Casa,Telhado,120,3Q+2B,Médio,"Telha fibrocimento: retirada parcial com reaproveitamento de chapas íntegras, reposição das danificadas, revisão de terças/apoios em trechos e instalação de manta/subcobertura básica; inclui reparo parcial de calhas e descidas"
7,Casa,Telhado,120,3Q+2B,Médio,"Telha fibrocimento: retirada total sem reaproveitamento, novas telhas, revisão geral da estrutura sem troca (reaperto, alinhamento), subcobertura básica e troca total de rufos (encontros com parede) mantendo calhas existentes após revisão"
8,Casa,Telhado,120,3Q+2B,Comercial,"Telha fibrocimento: retirada total sem reaproveitamento, troca parcial de estrutura (terças/apoios), subcobertura básica e troca total de calhas/condutores; inclui correção de caimentos e pontos de descarga para reduzir transbordo"
9,Casa,Telhado,140,3Q+2B,Luxo,"Telha de concreto: retirada total sem reaproveitamento, telhas novas, reforço/troca parcial de madeiramento para carga maior, subcobertura premium e troca total de rufos, calhas e condutores com detalhamento de pingadeiras"
10,Casa,Telhado,140,3Q+2B,Médio,"Telha de concreto: retirada parcial com reaproveitamento, substituição das quebradas, revisão pontual de madeiramento, subcobertura básica e revisão de cumeeiras com vedação adequada; calhas mantidas com reparo parcial"
11,Casa,Telhado,140,3Q+2B,Popular,"Telha de concreto: manutenção localizada (substituição de telhas trincadas e cumeeiras soltas), reaperto e ajuste de fixações e revisão de encontros; sem subcobertura adicional e sem troca de calhas (somente limpeza)"
12,Casa,Telhado,140,4Q+3B,Luxo,"Telha de concreto: retirada total sem reaproveitamento, troca total do madeiramento, subcobertura premium, revisão completa de cumeeiras/espigões/rincões e troca total de calhas/condutores com redimensionamento e teste com mangueira"
13,Casa,Telhado,120,2Q+1B,Médio,"Telha metálica trapezoidal: retirada total sem reaproveitamento (telhas antigas), instalação de telhas novas com manta termoacústica básica, revisão de estrutura sem troca (reaperto/alinhamento) e rufos novos nos encontros com parede"
14,Casa,Telhado,120,2Q+1B,Luxo,"Telha metálica sanduíche: retirada total sem reaproveitamento, estrutura revisada e reforços pontuais, instalação de telhas termoacústicas, subcobertura premium nos detalhes, rufos e calhas/condutores novos com dimensionamento para alta vazão"
15,Casa,Telhado,120,2Q+1B,Popular,"Telha metálica: manutenção pontual (troca de parafusos/arruelas, vedação em pontos de infiltração, ajuste de sobreposição), revisão de rufos existentes e limpeza de calhas; sem troca de telhas e sem intervenção estrutural"
16,Casa,Telhado,120,3Q+2B,Médio,"Telha cerâmica: retirada total com reaproveitamento parcial (triagem), troca parcial do madeiramento, subcobertura básica e troca total de calhas (mantendo condutores após revisão e desobstrução)"
17,Casa,Telhado,120,3Q+2B,Popular,"Telha cerâmica: retirada total sem reaproveitamento, sem troca de madeiramento (apenas reaperto e alinhamento), sem subcobertura, com troca parcial de rufos e vedação de encontros para reduzir infiltrações recorrentes"
18,Casa,Telhado,120,3Q+2B,Médio,"Telha cerâmica: retirada parcial com reaproveitamento, sem troca de madeiramento (apenas correções), subcobertura básica e troca total de condutores (descidas) mantendo calhas após reparos e suportes novos"
19,Casa,Telhado,120,2Q+1B,Médio,"Telha fibrocimento: retirada total sem reaproveitamento, troca total de calhas/condutores e rufos, sem troca de estrutura (revisão), com subcobertura básica e correção de caimento para eliminar transbordo"
20,Casa,Telhado,120,2Q+1B,Popular,"Telha fibrocimento: manutenção com troca pontual de chapas, revisão de fixações e vedação, troca parcial de calhas (trechos corroídos) e limpeza/desobstrução de condutores; sem subcobertura e sem troca estrutural"
21,Casa,Telhado,140,3Q+2B,Médio,"Telha de concreto: retirada total com reaproveitamento parcial, troca parcial de madeiramento, subcobertura básica e troca parcial de rufos com vedação reforçada em encontros com platibanda"
22,Casa,Telhado,140,3Q+2B,Comercial,"Telha de concreto: retirada total sem reaproveitamento, reforço de estrutura, subcobertura básica e troca total de calhas/condutores; inclui criação/adequação de pontos de descarga e revisão de pingadeiras"
23,Casa,Telhado,120,3Q+2B,Médio,"Telha metálica trapezoidal: retirada parcial com reaproveitamento (onde possível), reposição de telhas amassadas, subcobertura básica, rufos novos e troca parcial de calhas/condutores com suportes reforçados"
24,Casa,Telhado,120,3Q+2B,Comercial,"Telha metálica: retirada total sem reaproveitamento, troca parcial de estrutura (terças/metálicas leves), instalação de telhas novas, rufos completos e troca total de calhas/condutores com dimensionamento para chuva intensa"
25,Casa,Telhado,120,4Q+3B,Luxo,"Telha cerâmica: retirada total sem reaproveitamento, troca total de madeiramento com tratamento anti-cupim/fungo, subcobertura premium, cumeeiras/espigões/rincões novos e troca total de rufos/calhas/condutores"
26,Casa,Telhado,120,4Q+3B,Médio,"Telha cerâmica: retirada parcial com reaproveitamento, troca parcial de madeiramento com tratamento preventivo, subcobertura básica e troca total de rufos mantendo calhas após revisão e vedação"
27,Casa,Telhado,120,2Q+1B,Luxo,"Telha metálica sanduíche: retirada total sem reaproveitamento, estrutura revisada, telhas termoacústicas, rufos completos, calhas/condutores novos e vedação premium em parafusos e encontros"
28,Casa,Telhado,120,2Q+1B,Médio,"Telha fibrocimento: retirada parcial com reaproveitamento, troca parcial de estrutura (apoios), subcobertura básica e troca parcial de condutores; inclui vedação reforçada em encontros e passagens"
29,Casa,Telhado,140,3Q+2B,Popular,"Telha de concreto: manutenção localizada com substituição de telhas e cumeeiras quebradas, revisão de fixações e vedação; calhas e rufos apenas limpos e revedados pontualmente"
30,Casa,Telhado,120,3Q+2B,Médio,"Telha cerâmica: retirada total sem reaproveitamento, troca parcial de madeiramento, subcobertura básica e troca total de rufos; calhas/condutores mantidos com reparo e ajuste de caimento"
31,Casa,Telhado,120,3Q+2B,Popular,"Telha cerâmica: manutenção preventiva anual com limpeza, reposição pontual de telhas, reaperto de cumeeiras, revisão de rufos existentes, desobstrução de calhas/condutores e teste de estanqueidade em pontos críticos"
32,Casa,Telhado,120,2Q+1B,Médio,"Telha cerâmica: retirada parcial com reaproveitamento, troca de ripas em trechos, aplicação de subcobertura básica e instalação de pingadeiras metálicas nos encontros com parede; calhas mantidas com reparo e suportes novos"
33,Casa,Telhado,140,4Q+3B,Luxo,"Telha cerâmica: retirada total sem reaproveitamento, madeiramento novo completo com peças dimensionadas, tratamento anti-cupim/fungo, subcobertura premium e inclusão de manta térmica nos pontos de insolação; troca total de calhas/rufos/condutores"
34,Casa,Telhado,90,2Q+1B,Popular,"Telha fibrocimento: substituição pontual de chapas e cumeeiras, troca de parafusos e arruelas, vedação de sobreposições e revisão de rufos; calhas apenas limpas e revedadas em emendas"
35,Casa,Telhado,90,2Q+1B,Médio,"Telha fibrocimento: retirada total sem reaproveitamento, sem troca de estrutura (revisão e reaperto), instalação de telhas novas com manta/subcobertura básica e troca parcial de calhas/condutores com ajuste de caimento"
36,Casa,Telhado,90,2Q+1B,Comercial,"Telha fibrocimento: retirada total sem reaproveitamento, troca parcial de apoios/terças, instalação de telhas novas, rufos novos e troca total de calhas/condutores com redimensionamento para vazão maior"
37,Casa,Telhado,140,3Q+2B,Médio,"Telha de concreto: retirada parcial com reaproveitamento, substituição de telhas trincadas, reforço pontual do madeiramento por carga, subcobertura básica e troca parcial de rufos e cantoneiras em encontros"
38,Casa,Telhado,140,3Q+2B,Luxo,"Telha de concreto: retirada total sem reaproveitamento, troca total de madeiramento, subcobertura premium e revisão completa de cumeeiras/espigões/rincões; troca total de calhas/condutores com testes e detalhamento de pingadeiras"
39,Casa,Telhado,60,2Q+1B,Popular,"Telha metálica: manutenção pontual com troca de parafusos/arruelas, selagem de furos, reaperto de sobreposições, revisão de rufos existentes e limpeza de calhas; sem troca de telhas e sem subcobertura nova"
40,Casa,Telhado,60,2Q+1B,Médio,"Telha metálica trapezoidal: retirada total sem reaproveitamento, telhas novas com manta termoacústica básica, revisão de estrutura sem troca e instalação de rufos novos; calhas mantidas após reparos e vedação"
41,Casa,Telhado,60,2Q+1B,Luxo,"Telha metálica sanduíche: retirada total sem reaproveitamento, reforços pontuais, vedação premium em fixações e encontros, rufos completos e troca total de calhas/condutores com dimensionamento e teste"
42,Casa,Telhado,120,3Q+2B,Médio,"Telha cerâmica: retirada total com reaproveitamento parcial, troca total de cumeeiras e rufos, aplicação de subcobertura básica; calhas/condutores mantidos com revisão de emendas, suportes e descidas"
43,Casa,Telhado,120,3Q+2B,Comercial,"Telha cerâmica: retirada total sem reaproveitamento, troca parcial de madeiramento e adequação de ralos/descidas pluviais (condutores novos) para reduzir transbordo; inclui troca total de calhas e rufos em encontros com platibanda"
44,Casa,Telhado,120,4Q+3B,Luxo,"Telha cerâmica: retirada total sem reaproveitamento, madeiramento novo com tratamento, subcobertura premium e manta termoacústica, cumeeiras e rincões novos, troca total de calhas/condutores e rufos com acabamento superior"
45,Casa,Telhado,90,2Q+1B,Médio,"Telha fibrocimento: retirada parcial com reaproveitamento, troca parcial de estrutura (apoios), subcobertura básica e troca total de rufos; calhas mantidas com reparos e aumento de suportes"
46,Casa,Telhado,90,2Q+1B,Popular,"Telha fibrocimento: retirada parcial com reaproveitamento, sem troca estrutural, sem subcobertura nova; inclui troca parcial de calhas/condutores (trechos comprometidos) e vedação reforçada em emendas"
47,Casa,Telhado,140,3Q+2B,Comercial,"Telha de concreto: retirada total sem reaproveitamento, reforço de madeiramento, subcobertura básica e troca total de calhas/condutores; inclui revisão de beirais e pingadeiras para reduzir umidade em fachadas"
48,Casa,Telhado,140,4Q+3B,Médio,"Telha de concreto: retirada total com reaproveitamento parcial, troca parcial de madeiramento e subcobertura básica; troca total de rufos e revisão completa de calhas/condutores com correção de caimento"
49,Casa,Telhado,80,2Q+1B,Médio,"Telha metálica trapezoidal: retirada parcial com reaproveitamento, substituição de telhas danificadas, subcobertura básica, rufos novos e troca parcial de condutores; calhas mantidas com reparo e selagem"
50,Casa,Telhado,80,2Q+1B,Comercial,"Telha metálica: retirada total sem reaproveitamento, troca parcial de terças/apoios, telhas novas, rufos completos e troca total de calhas/condutores com redimensionamento para chuva forte"
51,Casa,Telhado,120,3Q+2B,Popular,"Telha cerâmica: retirada total sem reaproveitamento, sem troca de madeiramento (revisão/reaperto), subcobertura básica e troca parcial de calhas; condutores mantidos com limpeza e troca de abraçadeiras"
52,Casa,Telhado,120,3Q+2B,Médio,"Telha cerâmica: retirada parcial com reaproveitamento, troca parcial de ripas/caibros, subcobertura premium nos encontros e rincões, troca total de rufos e revisão de calhas/condutores com vedação em emendas"
53,Casa,Telhado,120,2Q+2B,Médio,"Telha cerâmica: manutenção corretiva pós-infiltração com substituição pontual, recomposição de cumeeira, revisão de rufos e instalação de subcobertura básica apenas nos trechos críticos; calhas limpas e revedadas"
