id,tipo,área (ambiente),area_m2,qtd_imovel (padrão 2Q+1B),acabamento (popular / médio / luxo / comercial),descrição da reforma (sem ampliação)
36,Casa,Banheiro,6,3Q+2B,Médio,"Banheiro completo casa: demolição, impermeabilização com manta, porcelanato, nicho em alvenaria, metais de qualidade, box de vidro 8mm e exaustor"
37,Casa,Banheiro suíte,8,4Q+3B,Luxo,"Suíte master spa: banheira de imersão (se layout permitir), ducha com cromoterapia, bancada dupla, espelho de parede inteira, iluminação cênica e aquecimento de piso"
38,Casa,Lavabo,3,3Q+2B,Luxo,"Lavabo social: bancada diferenciada, cuba artesanal, torneira de design, revestimento 3D ou papel de parede especial, espelho decorativo e iluminação pontual"
39,Casa,Banheiro,4,2Q+1B,Popular,"Banheiro econômico casa: pintura de azulejos, troca de louças básicas, rejunte novo, torneira econômica e box simples"
40,Casa,Banheiro social,5,3Q+2B,Médio,"Banheiro de visitas: revestimento cerâmico, louças padrão, espelho com moldura, iluminação adequada e ventilação"
41,Casa,Quarto,14,2Q+1B,Popular,"Quarto casa: pintura, piso laminado econômico, rodapé, luminárias novas e revisão de tomadas"
42,Casa,Quarto,16,3Q+2B,Médio,"Quarto completo: piso vinílico premium, pintura especial, iluminação com dimmer, cabeceira estofada e closet linear com portas de correr"
43,Casa,Suíte master,20,4Q+3B,Luxo,"Suíte completa: piso de madeira maciça, painel ripado, closet iluminado com espelho, automação de cortinas/iluminação e integração com banheiro premium"
44,Casa,Quarto solteiro,12,3Q+2B,Popular,"Quarto de solteiro: pintura, piso vinílico básico, luminárias LED, tomadas para computador e móveis modulados simples"
45,Casa,Quarto hóspedes,14,3Q+2B,Médio,"Quarto de hóspedes casa: pintura neutra, piso laminado, ar-condicionado, iluminação agradável e armário embutido"
46,Casa,Quarto empregada,8,4Q+3B,Popular,"Dependência de empregada: pintura, piso cerâmico, iluminação básica, tomadas e revisão de banheiro anexo"
47,Casa,Cozinha,12,2Q+1B,Popular,"Cozinha casa: pintura lavável, revestimento cerâmico, bancada granito, cuba inox simples, torneira funcional e armários básicos"
48,Casa,Cozinha,16,3Q+2B,Médio,"Cozinha família: porcelanato, bancada quartzo em L, marcenaria com despensa, torre quente, iluminação de tarefa e coifa"
49,Casa,Cozinha,22,4Q+3B,Luxo,"Cozinha gourmet casa: ilha central com cooktop, bancada quartzo ou granito premium, marcenaria com sistema de organização, iluminação em perfis, eletros embutidos de alto padrão"
50,Casa,Copa,8,3Q+2B,Médio,"Copa separada: bancada de apoio, armários, mesa pequena para refeições rápidas, iluminação e piso cerâmico"
51,Casa,Sala,25,2Q+1B,Popular,"Sala casa: pintura, piso laminado, luminárias básicas e organização de cabos TV/internet"
52,Casa,Sala,35,3Q+2B,Médio,"Sala de estar/jantar: porcelanato, forro de gesso acartonado, iluminação setorizada, painel de TV integrado e cortineiro embutido"
53,Casa,Living integrado,50,4Q+3B,Luxo,"Living completo: porcelanato grande formato, pé-direito duplo (se existente) com luminária pendente, lareira ecológica, automação completa e marcenaria de TV premium"
54,Casa,Sala,20,3Q+2B,Popular,"Sala família: pintura, piso cerâmico, luminárias LED e organização de móveis"
55,Casa,Lavanderia,8,2Q+1B,Popular,"Área de serviço casa: piso cerâmico, tanque, bancada simples, prateleiras e varal"
56,Casa,Lavanderia,12,3Q+2B,Médio,"Lavanderia completa: piso porcelanato, armários planejados, bancada com cuba, espaço para lava e seca, iluminação adequada e ventilação natural ou mecânica"
57,Casa,Área gourmet,20,3Q+2B,Médio,"Espaço gourmet: churrasqueira em alvenaria ou pré-moldada, bancada, cuba, armários, revestimento resistente, iluminação e piso antiderrapante"
58,Casa,Área gourmet,30,4Q+3B,Luxo,"Área gourmet premium: churrasqueira argentina, forno de pizza (se viável), bancada em granito, geladeira embutida, iluminação cênica e pergolado decorativo"
59,Casa,Varanda,15,3Q+2B,Médio,"Varanda casa: piso externo, guarda-corpo novo, iluminação, tomadas e pintura de paredes/teto"
60,Casa,Varanda,10,2Q+1B,Popular,"Varanda simples: pintura, piso cerâmico externo, iluminação básica e guarda-corpo revisado"
61,Casa,Garagem,30,2Q+1B,Popular,"Garagem organizada: pintura de piso (tinta específica), demarcações, prateleiras metálicas e iluminação funcional"
62,Casa,Garagem,40,3Q+2B,Médio,"Garagem funcional: pintura epóxi, armários de parede, bancada de trabalho, iluminação LED e tomadas para ferramentas"
63,Casa,Quintal,50,2Q+1B,Popular,"Quintal básico: nivelamento, grama ou piso intertravado, drenagem superficial e iluminação de segurança"
64,Casa,Quintal/jardim,80,3Q+2B,Médio,"Paisagismo leve: canteiros, plantio, irrigação básica, iluminação de jardim, deck de madeira ou WPC e mobiliário externo"
65,Casa,Fachada,60,2Q+1B,Popular,"Fachada casa: pintura externa com tratamento de fissuras, selagem de esquadrias, limpeza de telhado e revisão de calhas"
66,Casa,Fachada,80,3Q+2B,Médio,"Renovação de fachada: pintura texturizada, troca de esquadrias por alumínio, revestimento de muro, iluminação de destaque e paisagismo frontal"
67,Casa,Muros e portão,40,2Q+1B,Popular,"Muros externos: pintura, correção de ferrugem em grades/portão, instalação de motor de portão e iluminação de entrada"
68,Casa,Muros e portão,60,3Q+2B,Médio,"Entrada valorizada: revestimento de muro (cerâmica ou pedra), portão automatizado, iluminação de balizamento, câmeras e paisagismo"
69,Casa,Escada,10,3Q+2B,Médio,"Escada interna: revestimento de degraus (porcelanato ou madeira), corrimão novo, iluminação de balizamento e pintura de paredes"
70,Casa,Escada,15,4Q+3B,Luxo,"Escada premium: degraus em mármore ou granito, guarda-corpo em vidro/inox, iluminação embutida nos degraus e pintura de parede lateral"
71,Casa,Telhado,100,2Q+1B,Popular,"Manutenção de telhado: troca de telhas quebradas, revisão de cumeeiras, limpeza de calhas, vedação de rufos sem troca de estrutura"
72,Casa,Telhado,120,3Q+2B,Médio,"Reforma de cobertura: troca de telhas, revisão de madeiramento, subcobertura básica, troca de calhas/condutores e rufos novos"
73,Casa,Telhado,150,4Q+3B,Luxo,"Cobertura nova: troca total de telhas e madeiramento, tratamento anti-cupim, subcobertura térmica, calhas e condutores dimensionados e teste de estanqueidade"
74,Casa,Telhado,80,2Q+1B,Popular,"Telhado manutenção emergencial: conserto de vazamentos, troca pontual de telhas, vedação de rufos e limpeza de calhas"
75,Casa,Telhado manta,90,3Q+2B,Médio,"Telhado com manta: colocação de manta asfáltica, proteção mecânica e revisão de escoamento"
76,Casa,Geral,100,2Q+1B,Popular,"Reforma geral casa popular: pintura interna/externa, revisão elétrica, pequenos reparos hidráulicos, troca de luminárias e ajustes de portas/janelas"
77,Casa,Geral,150,3Q+2B,Médio,"Reforma completa casa: pintura, troca de pisos áreas sociais, reforma de banheiros, atualização elétrica, marcenaria de cozinha e iluminação"
78,Casa,Geral,200,4Q+3B,Luxo,"Retrofit completo: demolição de acabamentos, novo projeto de interiores, materiais premium, automação residencial, paisagismo e iluminação cênica"
79,Casa,Geral,70,2Q+1B,Popular,"Reforma casa simples: pintura, revisão elétrica básica, troca de luminárias e pequenos reparos"
80,Casa,Hidráulica geral,120,3Q+2B,Médio,"Adequação hidráulica: troca de registros, colunas de água fria (se acessível), caixa d'água nova, pressurização e testes"
81,Casa,Elétrica geral,120,3Q+2B,Médio,"Adequação elétrica completa: novo quadro bifásico/trifásico, circuitos separados, aterramento, tomadas novas e iluminação LED"
82,Casa,Elétrica geral,80,2Q+1B,Popular,"Revisão elétrica básica: troca de disjuntores, revisão de fiação, tomadas e interruptores novos"
83,Casa,Aquecimento,10,3Q+2B,Médio,"Sistema de água quente: instalação de aquecedor a gás de passagem, adequação de pontos, ventilação e testes de segurança"
84,Casa,Aquecimento solar,15,3Q+2B,Luxo,"Aquecimento solar: instalação de placas coletoras, boiler, tubulação de cobre isolada e integração com backup elétrico/gás"
85,Escritório,Recepção,25,0Q+1B,Comercial,"Recepção corporativa: balcão novo, painel de marca, iluminação de destaque, piso vinílico de alto tráfego, pintura e sinalização"
86,Escritório,Recepção,40,0Q+2B,Comercial,"Recepção premium: balcão em MDF laqueado, parede de destaque com logo retroiluminado, sofás de espera, piso porcelanato polido e iluminação arquitetural"
87,Escritório,Open space,80,0Q+2B,Comercial,"Escritório aberto: reorganização de layout, estações de trabalho, cabeamento estruturado, iluminação setorizada e tratamento acústico básico"
88,Escritório,Open space,150,0Q+4B,Comercial,"Open office completo: piso carpete modular, divisórias baixas, iluminação LED linear, infraestrutura elétrica/dados, sala de descompressão e copa integrada"
89,Escritório,Sala de reunião,20,0Q+1B,Comercial,"Sala de reunião: mesa para 8, iluminação adequada, TV/projetor, passa-cabos na mesa, tratamento acústico leve e pintura neutra"
90,Escritório,Sala de reunião,35,0Q+2B,Comercial,"Sala de reunião premium: mesa para 12-14, sistema de videoconferência, iluminação para câmera, tratamento acústico completo, vidro divisório e persiana motorizada"
91,Escritório,Sala de diretoria,25,0Q+1B,Comercial,"Diretoria: piso diferenciado (laminado ou porcelanato), iluminação de destaque, mobiliário executivo, armário integrado e pintura elegante"
92,Escritório,Copa,15,0Q+2B,Comercial,"Copa funcional: bancada, armários, cuba, micro-ondas e geladeira embutidos, revestimento lavável, ventilação/exaustão e mesa de apoio"
93,Escritório,Copa,30,0Q+4B,Comercial,"Copa/refeitório: bancada ampla, armários múltiplos, equipamentos integrados, mesas para refeição, ventilação reforçada e lixeiras seletivas"
94,Escritório,Banheiros,12,0Q+2B,Comercial,"Banheiros corporativos: louças resistentes, torneiras temporizadas, revestimento durável, acessórios antivandalismo e iluminação reforçada"
95,Escritório,Banheiros,20,0Q+4B,Comercial,"Banheiros PNE: adequação de acessibilidade conforme NBR 9050, barras de apoio, espaços de manobra, espelhos inclinados e sinalização tátil"
96,Escritório,Área técnica,40,0Q+1B,Comercial,"Sala de servidores: piso elevado, ar-condicionado dedicado, controle de acesso, iluminação adequada e organização de racks"
97,Escritório,Infra elétrica/dados,100,0Q+2B,Comercial,"Infraestrutura de TI: cabeamento categoria 6, rack organizado, patch panels, eletrocalhas, tomadas dedicadas e identificação de pontos"
98,Escritório,Geral,120,0Q+2B,Comercial,"Pintura e identidade visual: pintura geral, parede de marca, adesivagem de ambientes, sinalização e pequenos reparos"
99,Escritório,Geral,180,0Q+4B,Comercial,"Reforma corporativa completa: layout novo, mobiliário, iluminação LED, climatização revisada, tratamento acústico, banheiros e copa"
100,Loja,Salão de vendas,60,0Q+1B,Comercial,"Loja básica: pintura, piso vinílico comercial, iluminação de destaque, provadores (se aplicável), balcão de caixa e vitrine"
101,Loja,Salão de vendas,100,0Q+2B,Comercial,"Loja completa: piso porcelanato, iluminação projetada para produtos, gesso com rasgos de luz, provadores amplos, depósito organizado e fachada renovada"
102,Loja,Fachada comercial,30,0Q+1B,Comercial,"Fachada de loja: letreiro luminoso, pintura, revestimento de ACM ou similar, vitrine com iluminação e porta automática"
103,Clínica,Recepção,20,0Q+2B,Comercial,"Recepção clínica: balcão, cadeiras de espera, TV, piso lavável, pintura clara, iluminação adequada e sinalização"
104,Clínica,Consultório,12,0Q+1B,Comercial,"Consultório: pintura lavável, piso vinílico clínico, iluminação de tarefa, bancada, pia e armários para materiais"
105,Clínica,Banheiro PNE,5,0Q+1B,Comercial,"Banheiro acessível: dimensões NBR 9050, barras de apoio, bacia elevada, lavatório adequado, piso antiderrapante e sinalização"
106,Restaurante,Salão,80,0Q+2B,Comercial,"Salão de restaurante: piso porcelanato, iluminação de ambiente, forro acústico, climatização, pintura e mobiliário"
107,Restaurante,Cozinha industrial,40,0Q+2B,Comercial,"Cozinha comercial: piso antiderrapante, revestimento lavável até o teto, bancadas inox, exaustão, pontos de água/gás e iluminação forte"
108,Apto,Integração ambientes,40,3Q+2B,Luxo,"Demolição de parede divisória (com ART), unificação de pisos, recomposição de instalações, forro e iluminação integrada"
109,Apto,Dormitório + closet,18,3Q+2B,Luxo,"Quarto com closet aberto: piso único, nichos em drywall, iluminação setorizada por zonas, espelho de parede e cortineiro motorizado"
110,Apto,Banheiro + closet,14,3Q+2B,Luxo,"Suíte integrada: banheiro visible (bancada dentro do quarto), box de vidro, iluminação cênica e armários como divisória"
111,Casa,Piscina,25,3Q+2B,Luxo,"Reforma de piscina: troca de revestimento (pastilha ou vinil), revisão de bombas/filtros, iluminação subaquática, deck perimetral e paisagismo"
112,Casa,Edícula,20,3Q+2B,Médio,"Edícula multiuso: pintura, piso, pontos elétricos, banheiro externo simples, bancada de apoio e iluminação"
113,Casa,Edícula,30,4Q+3B,Luxo,"Edícula premium: banheiro completo, mini cozinha, espaço de estar, ar-condicionado e acabamento similar à casa principal"
114,Apto,Corredor + hall,12,3Q+2B,Médio,"Hall de entrada: piso diferenciado, iluminação de recepção, espelho, painel decorativo e ponto de ar-condicionado (se entrada grande)"
115,Casa,Corredor + hall,18,4Q+3B,Luxo,"Hall de entrada duplo: piso em mármore ou porcelanato diferenciado, lustre ou pendente, nichos, painel e iluminação de destaque"
116,Apto,Despensa,4,3Q+2B,Médio,"Despensa organizada: prateleiras reguláveis em aço, iluminação interna, piso lavável e ventilação básica"
117,Casa,Despensa/adega,8,4Q+3B,Luxo,"Adega climatizada: ar-condicionado de adega, prateleiras para garrafas, iluminação LED fria, piso antiderrapante e porta com vedação"
118,Apto,Área técnica,3,3Q+2B,Médio,"Shaft organizado: acesso facilitado, identificação de registros, tubulação aparente revisada e pequenos reparos"
119,Casa,Casa de máquinas,6,3Q+2B,Médio,"Casa de máquinas de piscina: organização, revisão de bombas, troca de selos, iluminação, ventilação e piso resistente"
120,Apto,Pintura completa,50,2Q+1B,Popular,"Pintura profissional: proteção, preparo de superfícies, massa corrida, selador, 2-3 demãos de tinta acrílica, portas e guarnições"
121,Apto,Pintura completa,70,3Q+2B,Médio,"Pintura padrão alto: preparo completo, massa corrida em todas as superfícies, selador, tinta premium, paredes de destaque e recortes perfeitos"
122,Apto,Pintura completa,40,1Q+1B,Popular,"Pintura studio/kitnet: paredes e teto, preparo básico, tinta acrílica e acabamento em portas"
123,Casa,Pintura interna,120,3Q+2B,Popular,"Pintura interna casa: paredes e tetos, preparo básico, tinta acrílica standard e acabamento de portas/guarnições"
124,Casa,Pintura interna + externa,180,3Q+2B,Médio,"Pintura geral casa: tratamento de fissuras, impermeabilização de fachada, pintura interna/externa, portas, grades e muros"
125,Casa,Pintura interna,80,2Q+1B,Popular,"Pintura casa simples: paredes e tetos internos, preparo básico e acabamento"
126,Apto,Troca de pisos,40,2Q+1B,Popular,"Piso sobreposto: laminado ou vinílico clicado sobre piso existente (se nivelado), rodapé e perfis de transição"
127,Apto,Troca de pisos,55,3Q+2B,Médio,"Piso com demolição: retirada do piso antigo, regularização/contrapiso, assentamento de porcelanato 60x60, rejunte e rodapé"
128,Apto,Troca de pisos,70,3Q+2B,Luxo,"Piso porcelanato grande formato: demolição, nivelamento, porcelanato 1,20x2,40m com paginação, rejunte mínimo e rodapé embutido"
129,Casa,Troca de pisos,100,2Q+1B,Popular,"Piso cerâmico padrão: demolição, contrapiso, cerâmica 45x45, rejunte e rodapés simples"
130,Casa,Troca de pisos,150,3Q+2B,Médio,"Piso porcelanato casa: demolição, contrapiso, porcelanato 60x60 ou 80x80, rejunte, soleiras e rodapés"
131,Casa,Troca de pisos,200,4Q+3B,Luxo,"Piso madeira maciça ou engenheirada: preparação de base, instalação flutuante ou colada, acabamento e manutenção"
132,Apto,Forro de gesso,35,2Q+1B,Popular,"Forro simples: rebaixo em gesso acartonado, tabicas, pontos de iluminação e pintura"
133,Apto,Forro de gesso,50,3Q+2B,Médio,"Forro com iluminação: gesso acartonado com rasgos para LED, sancas, cortineiros e pintura"
134,Apto,Forro de gesso,70,3Q+2B,Luxo,"Forro decorativo: molduras clássicas ou design contemporâneo, iluminação em múltiplas camadas, cortineiros motorizados e acabamento premium"
135,Casa,Forro de gesso,100,3Q+2B,Médio,"Forro áreas sociais: gesso acartonado em sala/cozinha, iluminação embutida, sancas e tabicas"
136,Casa,Forro de gesso,150,4Q+3B,Luxo,"Forro integral casa: gesso em todos os ambientes, iluminação projetada, nichos em gesso e acabamento perfeito"
137,Apto,Iluminação,50,2Q+1B,Popular,"Troca de luminárias: substituição por LED, revisão de pontos e revisão de circuitos de iluminação"
138,Apto,Iluminação,65,3Q+2B,Médio,"Projeto de iluminação: LED embutido, trilhos e spots, setorização por ambientes, dimmers e cenas básicas"
139,Apto,Automação,60,3Q+2B,Luxo,"Automação básica: interruptores inteligentes, controle de iluminação por app, persianas motorizadas e integração com assistente de voz"
140,Casa,Automação,120,4Q+3B,Luxo,"Automação completa: iluminação, cortinas, ar-condicionado, fechadura digital, câmeras, cenas e painel de controle central"
141,Apto,Marcenaria cozinha,10,2Q+1B,Popular,"Armários de cozinha: modulados em MDP, puxadores simples, acabamento melamínico e instalação básica"
142,Apto,Marcenaria cozinha,12,3Q+2B,Médio,"Cozinha planejada: MDF com acabamento laqueado ou melamínico premium, ferragens de qualidade, iluminação interna e organização"
143,Apto,Marcenaria cozinha,16,3Q+2B,Luxo,"Cozinha premium: MDF laqueado ou nesting, ferragens Blum/Hettich, iluminação em perfis, gavetas com divisórias e sistema push-to-open"
144,Apto,Marcenaria quarto,14,3Q+2B,Médio,"Closet planejado: módulos internos, cabideiros, gaveteiros, iluminação LED e portas de correr com espelho"
145,Casa,Marcenaria geral,50,3Q+2B,Médio,"Marcenaria sob medida: cozinha, área de serviço, closets e painéis de TV em MDF com acabamento unificado"
146,Casa,Marcenaria geral,80,4Q+3B,Luxo,"Marcenaria premium: projeto de interiores completo, materiais premium, ferragens importadas e acabamentos especiais"
147,Apto,Adequação acessibilidade,40,3Q+2B,Comercial,"Acessibilidade residencial: barras em banheiro, portas alargadas (se possível), rampas internas, pisos antiderrapantes e iluminação reforçada"
148,Casa,Adequação acessibilidade,80,3Q+2B,Comercial,"Casa acessível: rampa de acesso, banheiro PNE, portas largas, pisos nivelados, corrimãos e sinalização tátil"
149,Apto,Banheiro PNE,5,3Q+2B,Comercial,"Banheiro PNE apartamento: adequação NBR 9050, barras, espaço de transferência, louças acessíveis e sinalização"
150,Casa,Banheiro PNE,6,3Q+2B,Comercial,"Banheiro PNE casa: dimensões adequadas, barras em inox, bacia elevada, lavatório sem coluna e box sem desnível"
151,Apto,Impermeabilização,5,2Q+1B,Médio,"Impermeabilização de banheiro: demolição de piso, aplicação de manta ou membrana, proteção mecânica e novo revestimento"
152,Apto,Impermeabilização,8,3Q+2B,Médio,"Impermeabilização área molhada: banheiro(s) e lavanderia, manta asfáltica, teste de 48h e recomposição de pisos"
153,Casa,Impermeabilização,30,3Q+2B,Médio,"Impermeabilização de laje: limpeza, regularização, manta aluminizada ou membrana, proteção mecânica e teste"
154,Casa,Impermeabilização,50,4Q+3B,Luxo,"Impermeabilização completa: laje, varandas, áreas molhadas, manta premium com garantia, detalhamento em ralos e testes rigorosos"
155,Apto,Instalações elétricas,45,3Q+2B,Médio,"Pontos elétricos novos: abertura de rasgos, eletrodutos, fiação, caixas e acabamento; inclui novos pontos de tomada e iluminação"
156,Casa,Instalações elétricas,100,3Q+2B,Médio,"Elétrica casa nova: quadro dimensionado, circuitos separados, fiação em cobre, tomadas, interruptores modernos e aterramento"
157,Apto,Instalações hidráulicas,8,3Q+2B,Médio,"Pontos hidráulicos: novos pontos de água fria/quente, ramais em PPR ou PEX, conexões e testes de pressão"
158,Casa,Instalações hidráulicas,25,3Q+2B,Médio,"Hidráulica casa: ramais novos em PPR, registros de pressão e gaveta, colunas de água fria e testes de estanqueidade"
159,Apto,Ar-condicionado,40,2Q+1B,Médio,"Instalação de splits: 2-3 aparelhos, elétrica dedicada, drenos e tubulação embutida ou aparente organizada"
160,Casa,Ar-condicionado,80,3Q+2B,Médio,"Climatização residencial: splits nos quartos e estar, infraestrutura embutida, drenos encaminhados e acabamento"
161,Casa,Central de gás,15,3Q+2B,Médio,"Instalação de gás: central de P45 ou natural, tubulação em cobre, registros, detectores e teste de estanqueidade"
162,Apto,Esquadrias,30,2Q+1B,Médio,"Troca de janelas: esquadrias de alumínio com vidro duplo ou laminado, vedação perimetral e ajuste de contramarcos"
163,Casa,Esquadrias,60,3Q+2B,Médio,"Esquadrias novas: janelas e portas externas em alumínio, vidros de segurança, fechaduras e telas mosquiteiras"
164,Casa,Portão,20,2Q+1B,Médio,"Portão automatizado: motor de corrente, baterias, controles, fotocélulas e teste de segurança"
165,Apto,Box de vidro,4,2Q+1B,Médio,"Box de banheiro: vidro temperado 8mm, ferragens em aço inox, porta de correr ou abrir, silicone e ajustes"
166,Apto,Box de vidro,6,3Q+2B,Luxo,"Box premium: vidro 10mm até o teto, ferragens especiais, roldanas silenciosas, perfis em alumínio preto e vedação total"
167,Apto,Troca de portas,35,2Q+1B,Médio,"Portas internas: portas semi-ocas ou maciças, batentes novos ou reaproveitados, guarnições, ferragens e pintura"
168,Casa,Troca de portas,60,3Q+2B,Médio,"Portas casa: internas e externas, batentes, guarnições, fechaduras, dobradiças e acabamento em pintura ou verniz"
169,Apto,Segurança,40,2Q+1B,Médio,"Segurança residencial: fechadura digital, olho mágico eletrônico, sensor de abertura e câmera interna wi-fi"
170,Casa,Segurança,80,3Q+2B,Médio,"Sistema de segurança: câmeras externas, gravador (NVR), cerca elétrica, iluminação com sensor e alarme monitorado"
