id,tipo,área (ambiente),area_m2,qtd_imovel (padrão 2Q+1B),acabamento (popular / médio / luxo / comercial),descrição da reforma (sem ampliação)
27,Apto,Sala + cozinha integradas,28.0,3Q+2B,Luxo,"Retrofit completo: demolição, novo projeto de interiores, materiais premium, automação residencial"
28,Casa,Suíte master,31.0,2Q+2B,Luxo,"Retrofit completo: demolição, novo projeto de interiores, materiais premium, automação residencial"
29,Casa,Lavanderia,11.0,2Q+1B,Popular,"Reforma rápida: pintura geral, troca de luminárias, revisão elétrica, pequenos reparos"
30,Casa,Banheiro suíte,7.0,3Q+2B,Luxo,"Retrofit completo: demolição, novo projeto de interiores, materiais premium, automação residencial"
31,Apto,Banheiro social,4.0,3Q+3B,Médio,"Reforma completa: pintura, troca de pisos áreas sociais, reforma de banheiro social de banheiros, marcenaria de cozinha"
32,Apto,Quarto,11.0,3Q+2B,Médio,"Quarto completo: piso laminado, forro de gesso, iluminação setorizada, closet linear"
33,Apto,Quarto,9.0,1Q+1B,Popular,"Quarto básico: pintura, piso vinílico sobreposto, rodapé, luminárias novas"
34,Casa,Varanda,16.0,3Q+2B,Médio,"Reforma completa: pintura, troca de pisos áreas sociais, reforma de varanda de banheiros, marcenaria de cozinha"
35,Apto,Quarto infantil,10.0,2Q+2B,Popular,"Reforma rápida: pintura geral, troca de luminárias, revisão elétrica, pequenos reparos"
36,Casa,Living integrado,63.0,2Q+1B,Médio,"Reforma completa: pintura, troca de pisos áreas sociais, reforma de living integrado de banheiros, marcenaria de cozinha"
37,Casa,Lavabo,3.0,2Q+2B,Médio,"Reforma completa: pintura, troca de pisos áreas sociais, reforma de lavabo de banheiros, marcenaria de cozinha"
38,Apto,Varanda,5.0,3Q+2B,Luxo,"Retrofit completo: demolição, novo projeto de interiores, materiais premium, automação residencial"
39,Apto,Sala,29.0,1Q+1B,Luxo,"Living premium: porcelanato grande formato, sanca, automação, lareira ecológica, marcenaria de TV premium"
40,Escritório,Sala de reunião,25.0,0Q+4B,Comercial,Reforma de Sala de reunião padrão comercial
41,Casa,Edícula,33.0,2Q+1B,Médio,"Reforma completa: pintura, troca de pisos áreas sociais, reforma de edícula de banheiros, marcenaria de cozinha"
42,Casa,Banheiro suíte,7.0,2Q+1B,Médio,"Reforma completa: pintura, troca de pisos áreas sociais, reforma de banheiro suíte de banheiros, marcenaria de cozinha"
43,Loja,Fachada comercial,48.0,0Q+1B,Comercial,Reforma de Fachada comercial padrão comercial
44,Casa,Geral,172.0,2Q+1B,Médio,"Reforma completa: pintura, troca de pisos áreas sociais, reforma de banheiros, marcenaria de cozinha"
45,Casa,Área gourmet,20.0,2Q+1B,Luxo,"Retrofit completo: demolição, novo projeto de interiores, materiais premium, automação residencial"
46,Casa,Piscina,28.0,2Q+2B,Médio,"Reforma completa: pintura, troca de pisos áreas sociais, reforma de piscina de banheiros, marcenaria de cozinha"
47,Casa,Sala,29.0,2Q+1B,Luxo,"Living premium: porcelanato grande formato, sanca, automação, lareira ecológica, marcenaria de TV premium"
48,Casa,Lavanderia,13.0,2Q+1B,Popular,"Reforma rápida: pintura geral, troca de luminárias, revisão elétrica, pequenos reparos"
49,Apto,Quarto infantil,11.0,2Q+1B,Popular,"Reforma rápida: pintura geral, troca de luminárias, revisão elétrica, pequenos reparos"
50,Apto,Quarto,11.0,2Q+2B,Médio,"Quarto completo: piso laminado, forro de gesso, iluminação setorizada, closet linear"
